Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -0.99009      2.51058      1.63330      0.87728
     -0.98009      2.14042      1.42681      0.71361
     -0.97009      1.82587      1.21885      0.60702
     -0.96009      1.77856      1.16655      0.61201
     -0.95009      2.34165      1.57071      0.77093
     -0.94009      3.26090      2.21013      1.05077
     -0.93009      3.60552      2.40111      1.20441
     -0.92009      3.57028      2.33209      1.23819
     -0.91009      3.83248      2.56509      1.26739
     -0.90009      4.64691      3.18736      1.45956
     -0.89009      4.90470      3.34405      1.56065
     -0.88009      4.20823      2.83941      1.36882
     -0.87009      3.84444      2.61552      1.22892
     -0.86009      3.85283      2.61811      1.23473
     -0.85009      3.47408      2.29961      1.17447
     -0.84009      3.13254      2.04514      1.08740
     -0.83009      2.75282      1.82312      0.92970
     -0.82009      2.69412      1.80817      0.88595
     -0.81009      2.88398      1.92105      0.96293
     -0.80009      2.57306      1.71176      0.86131
     -0.79009      2.39593      1.57179      0.82414
     -0.78009      2.60597      1.68064      0.92533
     -0.77009      2.70898      1.74907      0.95991
     -0.76009      2.44721      1.59959      0.84762
     -0.75009      1.97073      1.31905      0.65169
     -0.74009      1.92954      1.30267      0.62686
     -0.73009      2.60450      1.75189      0.85261
     -0.72009      2.99853      2.01347      0.98506
     -0.71009      2.27613      1.51964      0.75649
     -0.70009      1.65711      1.07877      0.57833
     -0.69009      1.68415      1.08522      0.59893
     -0.68009      2.03294      1.33584      0.69710
     -0.67009      2.41372      1.59886      0.81486
     -0.66009      2.17299      1.43708      0.73591
     -0.65009      1.95451      1.30097      0.65354
     -0.64009      1.86469      1.23923      0.62546
     -0.63009      1.93024      1.27893      0.65131
     -0.62009      2.27450      1.55831      0.71619
     -0.61009      2.55098      1.78029      0.77069
     -0.60009      2.06690      1.41319      0.65371
     -0.59009      1.44520      0.96090      0.48429
     -0.58009      1.40363      0.92548      0.47815
     -0.57009      1.87517      1.23816      0.63701
     -0.56009      2.27546      1.52987      0.74559
     -0.55009      2.13686      1.46640      0.67046
     -0.54009      1.64187      1.12584      0.51603
     -0.53009      1.28429      0.86778      0.41651
     -0.52009      1.44255      0.96668      0.47587
     -0.51009      1.75465      1.18320      0.57145
     -0.50009      1.94754      1.34798      0.59957
     -0.49009      2.23945      1.59453      0.64492
     -0.48009      2.20128      1.56955      0.63173
     -0.47009      1.85157      1.28206      0.56951
     -0.46009      1.91024      1.28763      0.62261
     -0.45009      1.69590      1.13956      0.55634
     -0.44009      1.23032      0.84121      0.38911
     -0.43009      1.42507      0.99290      0.43217
     -0.42009      1.82185      1.27702      0.54484
     -0.41009      1.71026      1.19684      0.51342
     -0.40009      1.51879      1.04537      0.47343
     -0.39009      1.69629      1.15502      0.54127
     -0.38009      1.92490      1.32184      0.60306
     -0.37009      1.70936      1.18808      0.52128
     -0.36009      1.64974      1.15715      0.49260
     -0.35009      2.19243      1.55172      0.64071
     -0.34009      2.39915      1.68566      0.71349
     -0.33009      1.77502      1.21076      0.56426
     -0.32009      1.36653      0.89790      0.46864
     -0.31009      1.65820      1.09931      0.55889
     -0.30009      2.02860      1.37562      0.65298
     -0.29009      1.97789      1.36700      0.61090
     -0.28009      1.45515      1.04023      0.41492
     -0.27009      0.73249      0.54536      0.18714
     -0.26009      0.37014      0.28362      0.08653
     -0.25009      0.50969      0.39241      0.11728
     -0.24009      0.63157      0.48811      0.14346
     -0.23009      0.64694      0.50415      0.14279
     -0.22009      0.87031      0.68182      0.18849
     -0.21009      1.01599      0.79648      0.21952
     -0.20009      0.72896      0.56940      0.15956
     -0.19009      0.36905      0.28658      0.08247
     -0.18009      0.23436      0.18331      0.05105
     -0.17009      0.48881      0.38528      0.10353
     -0.16009      0.65568      0.51734      0.13834
     -0.15009      0.44610      0.35321      0.09289
     -0.14009      0.32406      0.25771      0.06635
     -0.13009      0.39823      0.31646      0.08177
     -0.12009      0.53774      0.42784      0.10990
     -0.11009      0.76870      0.61306      0.15564
     -0.10009      0.76003      0.60754      0.15248
     -0.09009      0.43763      0.35074      0.08690
     -0.08009      0.21722      0.17436      0.04286
     -0.07009      0.28823      0.23162      0.05661
     -0.06009      0.42296      0.34044      0.08252
     -0.05009      0.42710      0.34428      0.08283
     -0.04009      0.44717      0.36096      0.08621
     -0.03009      0.48621      0.39303      0.09317
     -0.02009      0.40925      0.33127      0.07799
     -0.01009      0.24629      0.19958      0.04671
     -0.00009      0.12016      0.09747      0.02270
      0.00991      0.03490      0.02832      0.00659
      0.01991      0.00357      0.00289      0.00067
      0.02991      0.00005      0.00004      0.00001
      0.03991     -0.00000     -0.00000     -0.00000
      0.04991     -0.00000     -0.00000     -0.00000
      0.05991      0.00000      0.00000      0.00000
      0.06991      0.00000      0.00000      0.00000
      0.07991      0.00000      0.00000      0.00000
      0.08991      0.00000      0.00000      0.00000
      0.09991      0.00000      0.00000      0.00000
      0.10991      0.00000      0.00000      0.00000
      0.11991      0.00000      0.00000      0.00000
      0.12991      0.00000      0.00000      0.00000
      0.13991      0.00000      0.00000      0.00000
      0.14991      0.00000      0.00000      0.00000
      0.15991      0.00000      0.00000      0.00000
      0.16991      0.00000      0.00000      0.00000
      0.17991      0.00000      0.00000      0.00000
      0.18991      0.00000      0.00000      0.00000
      0.19991      0.00000      0.00000      0.00000
      0.20991      0.00000      0.00000      0.00000
      0.21991      0.00000      0.00000      0.00000
      0.22991      0.00000      0.00000      0.00000
      0.23991      0.00000      0.00000      0.00000
      0.24991      0.00000      0.00000      0.00000
      0.25991      0.00000      0.00000      0.00000
      0.26991      0.00000      0.00000      0.00000
      0.27991      0.00000      0.00000      0.00000
      0.28991      0.00000      0.00000      0.00000
      0.29991      0.00000      0.00000      0.00000
      0.30991      0.00000      0.00000      0.00000
      0.31991      0.00000      0.00000      0.00000
      0.32991      0.00000      0.00000      0.00000
      0.33991      0.00000      0.00000      0.00000
      0.34991      0.00000      0.00000      0.00000
      0.35991      0.00000      0.00000      0.00000
      0.36991      0.00000      0.00000      0.00000
      0.37991      0.00000      0.00000      0.00000
      0.38991      0.00000      0.00000      0.00000
      0.39991      0.00000      0.00000      0.00000
      0.40991      0.00000      0.00000      0.00000
      0.41991      0.00000      0.00000      0.00000
      0.42991      0.00000      0.00000      0.00000
      0.43991      0.00000      0.00000      0.00000
      0.44991      0.00000      0.00000      0.00000
      0.45991      0.00000      0.00000      0.00000
      0.46991      0.00000      0.00000      0.00000
      0.47991      0.00000      0.00000      0.00000
      0.48991      0.00000      0.00000      0.00000
      0.49991      0.00000      0.00000      0.00000
      0.50991      0.00000      0.00000      0.00000
      0.51991      0.00000      0.00000      0.00000
      0.52991      0.00000      0.00000      0.00000
      0.53991      0.00000      0.00000      0.00000
      0.54991      0.00000      0.00000      0.00000
      0.55991      0.00000      0.00000      0.00000
      0.56991      0.00000      0.00000      0.00000
      0.57991      0.00000      0.00000      0.00000
      0.58991      0.00000      0.00000      0.00000
      0.59991      0.00000      0.00000      0.00000
      0.60991      0.00000      0.00000      0.00000
      0.61991      0.00000      0.00000      0.00000
      0.62991      0.00000      0.00000      0.00000
      0.63991      0.00000      0.00000      0.00000
      0.64991      0.00000      0.00000      0.00000
      0.65991      0.00000      0.00000      0.00000
      0.66991      0.00000      0.00000      0.00000
      0.67991      0.00000      0.00000      0.00000
      0.68991      0.00000      0.00000      0.00000
      0.69991      0.00000      0.00000      0.00000
      0.70991      0.00000      0.00000      0.00000
      0.71991      0.00000      0.00000      0.00000
      0.72991      0.00000      0.00000      0.00000
      0.73991      0.00000      0.00000      0.00000
      0.74991      0.00000      0.00000      0.00000
      0.75991      0.00000      0.00000      0.00000
      0.76991      0.00000      0.00000      0.00000
      0.77991      0.00000      0.00000      0.00000
      0.78991      0.00000      0.00000      0.00000
      0.79991      0.00000      0.00000      0.00000
      0.80991      0.00000      0.00000      0.00000
      0.81991      0.00000      0.00000      0.00000
      0.82991      0.00000      0.00000      0.00000
      0.83991      0.00000      0.00000      0.00000
      0.84991      0.00000      0.00000      0.00000
      0.85991      0.00000      0.00000      0.00000
      0.86991      0.00000      0.00000      0.00000
      0.87991      0.00000      0.00000      0.00000
      0.88991      0.00000      0.00000      0.00000
      0.89991      0.00000      0.00000      0.00000
      0.90991      0.00000      0.00000      0.00000
      0.91991      0.00000      0.00000      0.00000
      0.92991      0.00000      0.00000      0.00000
      0.93991      0.00000      0.00000      0.00000
      0.94991      0.00000      0.00000      0.00000
      0.95991      0.00000      0.00000      0.00000
      0.96991      0.00000      0.00000      0.00000
      0.97991      0.00000      0.00000      0.00000
      0.98991      0.00000      0.00000      0.00000
      0.99991      0.00000      0.00000      0.00000
      1.00991      0.00000      0.00000      0.00000
      1.01991      0.00000      0.00000      0.00000
