Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -1.71870      1.99082      0.68313      1.30769
     -1.70870      1.83762      0.66531      1.17231
     -1.69870      2.49342      0.99593      1.49749
     -1.68870      4.53222      1.92941      2.60281
     -1.67870      5.60658      2.31966      3.28692
     -1.66870      4.78752      1.72099      3.06654
     -1.65870      3.86238      1.15135      2.71102
     -1.64870      3.06951      0.85500      2.21451
     -1.63870      2.19389      0.63662      1.55726
     -1.62870      1.85577      0.59695      1.25883
     -1.61870      2.10662      0.66454      1.44208
     -1.60870      2.13907      0.69591      1.44316
     -1.59870      2.05934      0.70736      1.35198
     -1.58870      1.85412      0.57383      1.28029
     -1.57870      1.72845      0.55798      1.17048
     -1.56870      1.81029      0.58343      1.22686
     -1.55870      2.00442      0.53351      1.47090
     -1.54870      2.25303      0.58662      1.66641
     -1.53870      2.56519      0.77967      1.78552
     -1.52870      2.77342      0.96047      1.81294
     -1.51870      3.00792      1.15503      1.85288
     -1.50870      2.87416      1.05271      1.82145
     -1.49870      2.30148      0.68160      1.61988
     -1.48870      1.99848      0.52604      1.47244
     -1.47870      1.88651      0.47534      1.41117
     -1.46870      2.11267      0.55255      1.56012
     -1.45870      2.18735      0.71048      1.47687
     -1.44870      2.19513      0.74239      1.45274
     -1.43870      2.22547      0.65734      1.56813
     -1.42870      2.44142      0.69443      1.74698
     -1.41870      2.36773      0.70669      1.66104
     -1.40870      2.23162      0.69343      1.53819
     -1.39870      2.44299      0.80117      1.64182
     -1.38870      2.45348      0.80144      1.65204
     -1.37870      2.29834      0.65892      1.63942
     -1.36870      2.15695      0.57480      1.58215
     -1.35870      2.52714      0.73119      1.79595
     -1.34870      3.32090      0.96464      2.35626
     -1.33870      3.38773      0.97808      2.40965
     -1.32870      2.86800      0.86282      2.00518
     -1.31870      2.84001      0.87026      1.96975
     -1.30870      3.56160      1.14687      2.41473
     -1.29870      4.52980      1.53284      2.99696
     -1.28870      4.59353      1.62591      2.96762
     -1.27870      3.13974      1.17342      1.96633
     -1.26870      1.48342      0.62303      0.86039
     -1.25870      0.69291      0.33703      0.35588
     -1.24870      0.47231      0.24540      0.22691
     -1.23870      0.44592      0.23101      0.21491
     -1.22870      0.49000      0.22545      0.26455
     -1.21870      0.59211      0.25394      0.33817
     -1.20870      0.70256      0.31785      0.38471
     -1.19870      0.77608      0.35442      0.42166
     -1.18870      0.56176      0.25130      0.31046
     -1.17870      0.39147      0.19845      0.19302
