Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -1.68000      4.46425      1.78941      2.67484
     -1.67000      4.34385      1.65098      2.69287
     -1.66000      4.95334      1.77744      3.17591
     -1.65000      5.24371      1.94164      3.30206
     -1.64000      5.35358      1.99851      3.35508
     -1.63000      5.22808      1.96404      3.26404
     -1.62000      4.29752      1.67451      2.62301
     -1.61000      3.26176      1.22753      2.03423
     -1.60000      2.64124      0.84542      1.79582
     -1.59000      2.35386      0.75793      1.59593
     -1.58000      2.20384      0.85094      1.35290
     -1.57000      2.96231      1.20957      1.75274
     -1.56000      4.26399      1.77131      2.49268
     -1.55000      4.37263      1.80349      2.56914
     -1.54000      3.14964      1.17434      1.97530
     -1.53000      2.22445      0.66672      1.55774
     -1.52000      2.13130      0.57337      1.55793
     -1.51000      2.43547      0.67931      1.75616
     -1.50000      2.89587      0.87632      2.01955
     -1.49000      2.91978      1.01171      1.90807
     -1.48000      3.02524      1.20581      1.81943
     -1.47000      3.23774      1.31242      1.92531
     -1.46000      3.07038      1.17137      1.89902
     -1.45000      2.95175      1.05884      1.89291
     -1.44000      2.83155      0.92916      1.90239
     -1.43000      2.39240      0.70830      1.68410
     -1.42000      2.18954      0.73420      1.45534
     -1.41000      2.56058      0.99529      1.56530
     -1.40000      2.75161      1.06465      1.68696
     -1.39000      2.29563      0.79610      1.49952
     -1.38000      2.04600      0.58351      1.46249
     -1.37000      2.55801      0.66826      1.88975
     -1.36000      2.96614      0.86083      2.10530
     -1.35000      2.71763      0.90427      1.81335
     -1.34000      2.32689      0.82063      1.50626
     -1.33000      2.26736      0.84858      1.41877
     -1.32000      2.39129      0.91172      1.47958
     -1.31000      2.69958      0.92005      1.77953
     -1.30000      3.04421      0.92807      2.11614
     -1.29000      2.72503      0.80575      1.91927
     -1.28000      1.98112      0.56302      1.41811
     -1.27000      1.59142      0.49579      1.09562
     -1.26000      1.81231      0.63551      1.17681
     -1.25000      1.69746      0.58708      1.11038
     -1.24000      1.89987      0.61705      1.28283
     -1.23000      2.78981      0.85491      1.93489
     -1.22000      3.12069      0.90758      2.21312
     -1.21000      2.62711      0.72753      1.89958
     -1.20000      1.79767      0.59024      1.20743
     -1.19000      1.38723      0.58506      0.80218
     -1.18000      1.37625      0.52764      0.84860
     -1.17000      1.98746      0.54268      1.44478
     -1.16000      2.79449      0.71891      2.07558
     -1.15000      2.49207      0.66774      1.82432
     -1.14000      1.70429      0.45971      1.24458
     -1.13000      1.42824      0.41725      1.01098
     -1.12000      1.67593      0.48945      1.18648
     -1.11000      1.86248      0.50245      1.36003
     -1.10000      2.34390      0.63871      1.70518
     -1.09000      2.70706      0.74569      1.96137
     -1.08000      2.36692      0.59551      1.77141
     -1.07000      1.75710      0.46110      1.29600
